episode_id,agent,maze,total_steps,final_score,foods_eaten,died,avg_dist_to_food,direction_changes,dead_end_entries,path_optimality,steps_per_food,cluster,tsne_x,tsne_y
73,AStar,Maze1_easy.txt,2000,500,50,0,24.6695,97,0,1.0,40.0,0,-21.865463,-44.49056
74,AStar,Maze1_easy.txt,2000,550,55,0,23.54,104,0,1.0,36.36,0,8.994693,-51.570225
75,AStar,Maze1_easy.txt,2000,500,50,0,24.455,91,0,1.0,40.0,0,-19.75973,-43.980106
76,AStar,Maze1_easy.txt,2000,540,54,0,22.8375,100,0,1.0,37.04,0,11.2645645,-71.12771
77,AStar,Maze1_easy.txt,2000,620,62,0,20.1625,112,0,1.0,32.26,0,68.22808,-51.24267
78,AStar,Maze1_easy.txt,2000,490,49,0,24.2415,94,0,1.0,40.82,0,-23.23772,-40.45312
79,AStar,Maze1_easy.txt,579,160,16,0,24.734,30,0,1.0,36.19,1,-10.4346895,-0.3246014
80,AStar,Maze1_easy.txt,2000,620,62,0,20.412,114,0,1.0,32.26,0,68.183105,-50.517765
81,AStar,Maze1_easy.txt,2000,540,54,0,23.845,100,0,1.0,37.04,0,-1.123098,-52.00449
82,AStar,Maze1_easy.txt,2000,610,61,0,21.5355,117,0,1.0,32.79,0,61.13905,-46.63567
83,AStar,Maze1_easy.txt,2000,610,61,0,20.6165,114,0,1.0,32.79,0,65.561455,-52.161198
84,AStar,Maze1_easy.txt,2000,610,61,0,20.6395,112,0,1.0,32.79,0,65.39284,-52.200817
85,AStar,Maze1_easy.txt,2000,500,50,0,23.359,89,0,1.0,40.0,0,-16.085121,-65.3489
86,AStar,Maze1_easy.txt,2000,540,54,0,24.6055,93,0,1.0,37.04,0,-5.23859,-49.37415
87,AStar,Maze1_easy.txt,2000,560,56,0,22.8355,101,0,1.0,35.71,0,21.334759,-53.162224
88,AStar,Maze1_easy.txt,2000,540,54,0,22.9325,99,0,1.0,37.04,0,10.844121,-71.95509
89,AStar,Maze1_easy.txt,2000,590,59,0,21.4585,105,0,1.0,33.9,0,43.970585,-52.701088
90,AStar,Maze1_easy.txt,2000,570,57,0,21.469,103,0,1.0,35.09,0,38.81111,-62.684208
91,AStar,Maze1_easy.txt,2000,570,57,0,23.1715,108,0,1.0,35.09,0,29.774033,-47.575996
92,AStar,Maze1_easy.txt,2000,530,53,0,23.4875,100,0,1.0,37.74,0,-4.0803423,-65.20797
93,AStar,Maze1_easy.txt,2000,600,60,0,22.5735,109,0,1.0,33.33,0,44.38012,-47.21613
94,AStar,Maze1_easy.txt,2000,560,56,0,22.9085,105,0,1.0,35.71,0,20.522419,-50.573975
95,AStar,Maze1_easy.txt,2000,530,53,0,23.497,96,0,1.0,37.74,0,-7.1469865,-65.70528
96,AStar,Maze1_easy.txt,2000,550,55,0,22.2305,102,0,1.0,36.36,0,20.387018,-62.492767
97,AStar,Maze1_easy.txt,2000,570,57,0,22.844,106,0,1.0,35.09,0,29.077063,-49.467796
98,AStar,Maze1_easy.txt,2000,630,63,0,19.628,121,0,1.0,31.75,0,71.10283,-48.795288
99,AStar,Maze1_easy.txt,2000,570,57,0,22.4735,108,0,1.0,35.09,0,31.22801,-52.028614
100,AStar,Maze1_easy.txt,2000,620,62,0,22.21,118,0,1.0,32.26,0,59.44814,-44.597603
101,AStar,Maze1_easy.txt,2000,520,52,0,23.1645,99,0,1.0,38.46,0,-10.828208,-66.843636
102,AStar,Maze1_easy.txt,2000,520,52,0,24.3815,94,0,1.0,38.46,0,-13.165058,-53.761036
103,AStar,Maze1_easy.txt,2000,620,62,0,20.6405,115,0,1.0,32.26,0,67.85973,-49.978523
104,AStar,Maze1_easy.txt,2000,560,56,0,24.4955,104,0,1.0,35.71,0,6.395484,-45.64045
105,AStar,Maze1_easy.txt,2000,560,56,0,24.1415,104,0,1.0,35.71,0,7.475643,-45.311607
106,AStar,Maze1_easy.txt,2000,640,64,0,21.6375,116,0,1.0,31.25,0,67.824615,-46.570007
107,AStar,Maze1_easy.txt,2000,520,52,0,25.08,98,0,1.0,38.46,0,-12.187049,-49.58515
108,AStar,Maze1_easy.txt,2000,530,53,0,24.0195,99,0,1.0,37.74,0,-5.826071,-62.83523
109,AStar,Maze1_easy.txt,2000,520,52,0,23.2535,97,0,1.0,38.46,0,-11.246799,-66.459656
110,AStar,Maze1_easy.txt,2000,460,46,0,26.453,82,0,1.0,43.48,0,-33.719643,-44.31214
111,AStar,Maze1_easy.txt,2000,570,57,0,22.192,106,0,1.0,35.09,0,30.334486,-54.16692
112,AStar,Maze1_easy.txt,2000,530,53,0,23.643,101,0,1.0,37.74,0,-4.172529,-64.34497
113,AStar,Maze1_easy.txt,2000,540,54,0,23.215,99,0,1.0,37.04,0,7.468857,-71.404755
114,AStar,Maze1_easy.txt,2000,560,56,0,22.085,106,0,1.0,35.71,0,27.086739,-61.044956
115,AStar,Maze1_easy.txt,2000,550,55,0,24.3695,104,0,1.0,36.36,0,5.5159664,-47.660503
116,AStar,Maze1_easy.txt,2000,540,54,0,22.551,99,0,1.0,37.04,0,13.289329,-71.72149
117,AStar,Maze1_easy.txt,2000,550,55,0,23.113,102,0,1.0,36.36,0,10.879932,-54.31532
118,AStar,Maze1_easy.txt,2000,510,51,0,25.409,94,0,1.0,39.22,0,-17.775106,-48.18203
119,AStar,Maze1_easy.txt,2000,560,56,0,24.853,102,0,1.0,35.71,0,5.526418,-45.48655
120,AStar,Maze1_easy.txt,2000,570,57,0,22.608,108,0,1.0,35.09,0,30.91227,-51.230183
121,AStar,Maze1_easy.txt,2000,480,48,0,25.1695,88,0,1.0,41.67,0,-28.549793,-42.121304
122,AStar,Maze1_easy.txt,2000,540,54,0,23.3285,106,0,1.0,37.04,0,6.7663836,-64.43991
123,AStar,Maze1_easy.txt,2000,600,60,0,21.2165,115,0,1.0,33.33,0,58.892803,-53.03747
124,AStar,Maze1_easy.txt,1005,270,27,0,21.4438,48,0,1.0,37.22,1,-8.340512,0.40158534
125,AStar,Maze1_easy.txt,2000,490,49,0,27.203,94,0,1.0,40.82,0,-31.32004,-48.25958
126,AStar,Maze1_easy.txt,2000,520,52,0,24.702,98,0,1.0,38.46,0,-11.687857,-51.783894
127,AStar,Maze1_easy.txt,2000,660,66,0,20.5055,117,0,1.0,30.3,0,70.077705,-46.345757
128,AStar,Maze1_easy.txt,2000,520,52,0,23.884,102,0,1.0,38.46,0,-9.099367,-59.360733
129,AStar,Maze1_easy.txt,2000,540,54,0,22.9795,103,0,1.0,37.04,0,10.500795,-68.602264
130,AStar,Maze1_easy.txt,2000,550,55,0,21.8685,99,0,1.0,36.36,0,22.137957,-62.889454
131,AStar,Maze1_easy.txt,2000,590,59,0,22.04,110,0,1.0,33.9,0,44.11395,-49.67648
132,AStar,Maze1_easy.txt,2000,590,59,0,22.8415,111,0,1.0,33.9,0,41.75524,-46.08841
133,AStar,Maze1_easy.txt,2000,540,54,0,23.391,98,0,1.0,37.04,0,6.792708,-71.736946
134,AStar,Maze1_easy.txt,2000,600,60,0,20.669,114,0,1.0,33.33,0,59.650566,-55.03126
135,AStar,Maze1_easy.txt,2000,520,52,0,23.418,95,0,1.0,38.46,0,-12.101171,-65.81828
136,AStar,Maze1_easy.txt,2000,420,42,0,28.459,80,0,1.0,47.62,0,-34.949787,-44.85443
137,AStar,Maze1_easy.txt,2000,520,52,0,25.4395,93,0,1.0,38.46,0,-14.796351,-47.75484
138,AStar,Maze1_easy.txt,2000,560,56,0,22.363,104,0,1.0,35.71,0,25.475374,-60.148438
139,AStar,Maze1_easy.txt,2000,600,60,0,21.9695,116,0,1.0,33.33,0,57.084858,-48.621284
140,AStar,Maze1_easy.txt,2000,550,55,0,24.0955,105,0,1.0,36.36,0,6.7663307,-48.3814
